core_genome, soft_core_genome, shell_genome, cloud_genome, pangenome
1291,28,834,954,3107
1250,65,927,1324,3566
1280,36,937,1228,3481
1279,40,935,1172,3426
1250,62,1005,1167,3484
1246,72,894,1534,3746
1213,82,1144,1437,3876
1248,49,841,1190,3328
1228,63,977,1432,3700
1218,63,1077,1111,3469
1235,78,939,1199,3451
1239,66,1036,1089,3430
1240,119,779,1221,3359
1246,66,943,1066,3321
1255,49,1055,1128,3487
1229,77,1076,1203,3585
1289,55,834,1171,3349
1234,78,974,1007,3293
1244,91,857,1477,3669
1242,69,1002,1225,3538
1303,60,756,1329,3448
1284,81,756,1242,3363
1253,52,985,1169,3459
1218,75,1156,1192,3641
1245,66,850,1332,3493
1277,64,757,1182,3280
1266,38,997,1159,3460
1248,58,971,1254,3531
1236,74,813,1281,3404
1212,74,1097,1114,3497
1216,84,1011,1474,3785
1204,126,896,1345,3571
1295,67,818,1127,3307
1242,73,902,1340,3557
1256,42,960,1347,3605
1253,56,1011,1175,3495
1260,70,922,1012,3264
1251,54,958,1171,3434
1237,57,904,1557,3755
1243,95,961,1203,3502
1285,40,979,1018,3322
1254,49,897,1323,3523
1247,69,1005,964,3285
1243,97,885,1486,3711
1252,59,927,1134,3372
1268,49,873,1168,3358
1213,86,1099,1124,3522
1232,102,834,1355,3523
1246,89,1013,1201,3549
1255,50,1062,1135,3502
1278,44,993,930,3245
1241,94,805,1251,3391
1214,83,1018,1478,3793
1257,47,1043,1166,3513
1265,52,797,1409,3523
1237,74,874,1254,3439
1278,33,874,1327,3512
1257,94,762,1414,3527
1241,74,911,1157,3383
1291,26,840,1068,3225
1258,75,800,1299,3432
1249,56,956,1309,3570
1255,61,873,1302,3491
1264,46,1018,831,3159
1235,77,1049,928,3289
1260,70,817,1219,3366
1259,32,928,1211,3430
1287,30,874,1004,3195
1249,62,910,1377,3598
1247,89,889,1264,3489
1263,61,1070,1037,3431
1255,73,908,1408,3644
1271,49,877,1121,3318
1240,77,982,1020,3319
1273,53,896,1294,3516
1238,65,1037,1144,3484
1245,69,1052,1144,3510
1262,67,1048,1091,3468
1245,51,973,1062,3331
1254,60,974,1124,3412
1285,52,989,1072,3398
1260,61,879,968,3168
1259,68,869,1150,3346
1280,34,951,986,3251
1281,55,926,1197,3459
1307,39,798,1054,3198
1266,33,1048,1149,3496
1272,32,857,1077,3238
1235,65,1055,970,3325
1263,52,933,1247,3495
1256,79,849,1106,3290
1262,68,982,1265,3577
1268,62,854,1085,3269
1239,58,939,1272,3508
1269,38,1048,1331,3686
1252,45,1030,1272,3599
1243,99,815,1161,3318
1237,71,1041,1248,3597
1245,68,958,1231,3502
1246,59,943,1211,3459
