core_genome, soft_core_genome, shell_genome, cloud_genome, total_genome
2186,58,1305,1441,4990
2212,44,1417,1359,5032
2203,51,1436,1487,5177
2192,46,1436,1084,4758
2202,59,1495,1225,4981
2202,43,1485,1319,5049
2216,38,1320,1555,5129
2202,66,1378,1373,5019
2194,45,1463,1402,5104
2208,52,1424,1157,4841
2168,74,1319,1363,4924
2194,53,1435,1259,4941
2200,47,1360,1255,4862
2181,50,1453,1524,5208
2204,51,1410,1074,4739
2205,33,1373,1492,5103
2195,53,1538,1477,5263
2216,47,1459,1427,5149
2189,65,1441,1485,5180
2157,66,1404,1657,5284
2207,41,1322,1443,5013
2215,22,1524,887,4648
2198,44,1434,1545,5221
2186,60,1546,1314,5106
2192,54,1455,1259,4960
2217,82,1371,1356,5026
2168,59,1314,1316,4857
2188,44,1455,1402,5089
2188,43,1510,1388,5129
2178,63,1346,1383,4970
2194,61,1349,1455,5059
2180,55,1540,1502,5277
2179,51,1501,1215,4946
2205,46,1409,1184,4844
2189,44,1414,1308,4955
2199,55,1422,1314,4990
2195,59,1408,1178,4840
2167,53,1465,1365,5050
2199,45,1420,1274,4938
2178,73,1379,1447,5077
2196,67,1300,1613,5176
2199,49,1448,1118,4814
2172,58,1363,1544,5137
2170,58,1458,1156,4842
2171,63,1437,1520,5191
2212,42,1487,1174,4915
2183,66,1469,1361,5079
2196,55,1438,1444,5133
2176,71,1328,1167,4742
2193,63,1462,1554,5272
2201,58,1404,1412,5075
2203,58,1393,1042,4696
2213,50,1375,1119,4757
2202,45,1412,1145,4804
2190,62,1324,1305,4881
2180,66,1458,1263,4967
2191,45,1499,1292,5027
2192,62,1457,1459,5170
2217,29,1395,1195,4836
2223,49,1331,1307,4910
2211,90,1332,1417,5050
2167,83,1408,1521,5179
2196,49,1380,1283,4908
2205,46,1552,1313,5116
2186,67,1407,1321,4981
2174,49,1391,1611,5225
2171,54,1384,1436,5045
2197,41,1393,958,4589
2194,107,1375,1454,5130
2200,57,1345,1181,4783
2213,81,1356,1430,5080
2202,62,1334,1258,4856
2185,51,1575,1424,5235
2227,70,1330,1288,4915
2196,53,1397,1548,5194
2201,46,1295,1513,5055
2190,47,1452,1309,4998
2181,72,1575,1432,5260
2181,57,1444,1298,4980
2215,33,1386,1021,4655
2184,50,1309,1647,5190
2188,36,1540,1141,4905
2195,43,1350,1280,4868
2171,61,1434,1635,5301
2211,40,1441,1362,5054
2209,46,1384,1168,4807
2175,65,1435,1384,5059
2182,58,1263,1592,5095
2190,57,1403,1369,5019
2185,61,1384,1311,4941
2193,53,1517,1334,5097
2209,56,1447,1210,4922
2187,52,1336,1177,4752
2165,65,1352,1503,5085
2186,59,1308,1259,4812
2193,48,1448,1160,4849
2210,48,1334,1540,5132
2202,48,1400,1235,4885
2175,59,1348,1508,5090
2200,36,1461,1119,4816
