"","distance","indel_rate","core_genes","soft_core_genes","shell_genes","cloud_genes","total_genes"
"1",0.3904,7.708922,3745,94,363,396,4598
"2",0.6468,4.904906,3673,150,374,434,4631
"3",0.47372,6.411549,3708,113,382,414,4617
"4",0.49564,6.289512,3721,97,411,354,4583
"5",0.71944,4.338445,3616,174,470,528,4788
"6",0.65493,5.391503,3616,176,447,546,4785
"7",0.57545,6.594731,3664,180,347,469,4660
"8",0.57041,7.35889,3614,183,465,588,4850
"9",0.55635,6.718293,3702,115,421,528,4766
"10",0.58358,4.770141,3694,135,366,381,4576
"11",0.37733,7.287457,3731,124,345,354,4554
"12",0.37746,8.416128,3736,99,349,339,4523
"13",0.70554,5.656919,3684,158,377,497,4716
"14",0.58304,6.693006,3635,166,429,544,4774
"15",0.61679,5.043033,3634,170,430,544,4778
"16",0.45899,6.226212,3675,139,398,431,4643
"17",0.68087,5.420834,3592,185,508,622,4907
"18",0.53637,5.297384,3639,167,405,399,4610
"19",0.50491,6.07228,3658,171,358,378,4565
"20",0.6766,5.711066,3615,175,449,509,4748
"21",0.55542,6.873216,3671,135,395,417,4618
"22",0.51983,5.297456,3684,139,372,448,4643
"23",0.59092,5.217016,3658,146,428,547,4779
"24",0.51293,6.583892,3631,191,369,422,4613
"25",0.44929,6.319532,3717,135,344,448,4644
"26",0.47221,5.960607,3725,100,373,324,4522
"27",0.57764,5.522611,3688,131,382,372,4573
"28",0.63278,5.081764,3649,147,439,502,4737
"29",0.59226,5.050494,3630,182,395,512,4719
"30",0.50155,6.556825,3709,119,370,310,4508
"31",0.36936,8.518865,3728,128,327,277,4460
"32",0.66772,4.464175,3666,159,409,443,4677
"33",0.63788,4.637434,3655,158,423,499,4735
"34",0.6837,4.99792,3553,206,517,606,4882
"35",0.55539,5.364071,3691,120,407,456,4674
"36",0.45344,5.826683,3631,167,444,524,4766
"37",0.54914,5.656319,3670,155,382,474,4681
"38",0.47429,6.895471,3737,103,352,372,4564
"39",0.59069,5.910892,3642,146,460,575,4823
"40",0.47607,6.210539,3656,160,409,503,4728
"41",0.7229,4.203985,3583,208,452,576,4819
"42",0.76826,3.899027,3556,201,514,549,4820
"43",0.60181,5.924845,3599,186,450,571,4806
"44",0.65461,4.574196,3661,134,424,389,4608
"45",0.5974,6.194472,3641,175,398,508,4722
"46",0.62601,4.726662,3629,184,416,470,4699
"47",0.60875,4.761419,3664,158,400,480,4702
"48",0.67921,5.196105,3607,198,444,604,4853
"49",0.65337,5.067761,3615,184,449,523,4771
"50",0.57426,6.740233,3627,181,427,574,4809
"51",0.65889,4.810806,3651,159,428,533,4771
"52",0.68612,4.694488,3631,169,432,423,4655
"53",0.60488,5.064862,3649,164,384,419,4616
"54",0.69936,4.314025,3628,164,482,621,4895
"55",0.5596,6.826142,3680,136,390,453,4659
"56",0.62476,4.962647,3648,157,433,499,4737
"57",0.63765,4.875082,3633,168,415,491,4707
"58",0.37787,8.336807,3694,132,390,379,4595
"59",0.6057,5.278123,3645,166,401,499,4711
"60",0.57845,6.859439,3673,153,388,370,4584
"61",0.54539,6.688802,3703,137,338,414,4592
"62",0.44929,7.578868,3684,145,398,426,4653
"63",0.52672,5.798182,3666,147,418,529,4760
"64",0.61717,4.584443,3689,128,402,508,4727
"65",0.46499,6.186354,3684,137,388,415,4624
"66",0.68788,4.744414,3679,131,430,407,4647
"67",0.64292,5.154908,3588,198,460,574,4820
"68",0.58595,4.968638,3659,151,409,422,4641
"69",0.45268,6.69653,3693,147,374,412,4626
"70",0.61493,4.888823,3640,177,393,403,4613
"71",0.52017,7.758933,3675,169,370,474,4688
"72",0.62083,6.426658,3626,164,453,593,4836
"73",0.55573,6.254242,3670,165,377,436,4648
"74",0.49871,5.957001,3643,160,385,450,4638
"75",0.62963,5.43437,3620,167,462,526,4775
"76",0.63331,6.056527,3653,154,414,482,4703
"77",0.64247,4.130239,3652,141,425,496,4714
"78",0.56292,6.367185,3685,144,369,441,4639
"79",0.49743,6.174377,3686,148,388,471,4693
"80",0.67621,4.532569,3575,203,491,543,4812
"81",0.68746,4.653008,3625,180,424,549,4778
"82",0.49682,6.555554,3695,141,340,342,4518
"83",0.51324,8.067509,3632,191,401,497,4721
"84",0.58225,6.311975,3617,191,428,527,4763
"85",0.56269,6.40669,3642,172,412,495,4721
"86",0.62208,5.733928,3626,163,480,579,4848
"87",0.41702,6.658694,3700,156,316,328,4500
"88",0.39971,7.821702,3665,171,371,464,4671
"89",0.56132,6.590513,3666,146,411,436,4659
"90",0.58305,5.514506,3623,157,467,549,4796
"91",0.63399,4.528763,3665,140,425,498,4728
"92",0.41057,6.844474,3707,131,342,442,4622
"93",0.63132,5.016782,3671,141,400,493,4705
"94",0.49795,6.366665,3675,150,361,369,4555
"95",0.50438,6.085388,3676,138,400,482,4696
"96",0.71971,4.497066,3585,186,531,595,4897
"97",0.48054,7.041426,3672,145,380,420,4617
"98",0.65774,4.856356,3646,143,433,506,4728
"99",0.50479,5.736194,3660,138,459,527,4784
"100",0.61679,4.87402,3609,203,409,460,4681
