"","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indelrates"
"1",1.39179,3703,134,1752,2556,8145,0.8801334
"2",1.56688,3734,132,1433,2211,7510,0.8327846
"3",1.00896,3761,136,1520,1887,7304,37.17261
"4",1.20246,3715,192,1283,2010,7200,1.267538
"5",1.03895,3789,94,1341,1795,7019,39.07543
"6",1.27912,3796,47,1487,2443,7773,0.9322277
"7",1.31266,3703,189,1350,2081,7323,1.276618
"8",1.31362,3706,142,1475,1840,7163,1.026048
"9",1.08641,3751,93,1717,2258,7819,1.641812
"10",1.56504,3782,89,1364,2336,7571,0.9232117
"11",1.31316,3770,78,1648,2007,7503,0.9708585
"12",1.04066,3784,86,1602,1864,7336,1.460012
"13",1.6341,3703,162,1345,3015,8225,0.8661856
"14",1.307,3745,124,1404,2591,7864,1.118778
"15",1.28678,3698,110,1620,2588,8016,1.268921
"16",1.27727,3770,90,1496,1347,6703,1.076051
"17",1.73669,3693,175,1263,3003,8134,0.6209697
"18",1.37576,3623,180,1514,2481,7798,1.054079
"19",1.29644,3799,110,1341,1954,7204,1.089724
"20",1.58159,3733,108,1522,2376,7739,0.8994611
"21",1.79553,3683,157,1448,2671,7959,0.6805824
"22",1.08125,3815,60,1476,2195,7546,51.15574
"23",1.30694,3724,136,1408,1747,7015,1.118929
"24",1.29251,3807,81,1321,2524,7733,0.9305223
"25",1.40986,3700,150,1474,2300,7624,0.827403
"26",1.08849,3763,141,1183,2029,7116,1.047006
"27",1.28632,3742,98,1620,2569,8029,1.256216
"28",1.17046,3768,95,1551,2154,7568,1.313488
"29",1.30307,3724,158,1348,3115,8345,1.041766
"30",1.28112,3736,160,1372,1780,7048,1.190394
"31",1.09358,3637,209,1453,2283,7582,1.194739
"32",1.51019,3728,114,1500,2422,7764,0.8488441
"33",1.5955,3768,82,1546,2312,7708,0.6313642
"34",1.27909,3755,123,1702,2385,7965,1.154113
"35",0.97011,3766,123,1592,2141,7622,36.86424
"36",1.45837,3751,122,1730,2604,8207,0.9379947
"37",1.55779,3652,164,1541,2705,8062,1.064741
"38",1.41663,3681,152,1534,2048,7415,1.164959
"39",1.58916,3642,208,1603,2585,8038,0.9248385
"40",1.04495,3776,88,1520,2459,7843,33.73683
"41",1.28863,3781,111,1483,2314,7689,0.9137505
"42",1.59099,3784,84,1491,2441,7800,0.8888146
"43",1.51008,3713,140,1536,2190,7579,0.8486142
"44",1.09311,3755,131,1416,1910,7212,1.369901
"45",1.17019,3679,176,1552,2189,7596,1.588715
"46",1.05905,3720,135,1539,2028,7422,1.303391
"47",1.04558,3803,140,1294,1949,7186,1.685638
"48",1.16914,3718,153,1456,1873,7200,1.082475
"49",1.12576,3787,78,1638,1928,7431,1.36447
"50",1.08323,3759,85,1540,2281,7665,1.50038
"51",0.9893,3782,90,1486,1881,7239,41.19347
"52",1.30063,3752,139,1495,2364,7750,1.015835
"53",0.83781,3720,121,1500,2283,7624,36.20189
"54",1.07156,3796,80,1406,1841,7123,1.132248
"55",1.27931,3774,75,1593,2313,7755,0.9706183
"56",1.33128,3667,164,1410,3047,8288,0.905805
"57",1.52179,3700,137,1509,2244,7590,0.9290801
"58",1.38559,3749,130,1438,2080,7397,0.912419
"59",1.3876,3705,178,1370,2109,7362,0.936062
"60",1.49937,3745,147,1321,2619,7832,0.9472922
"61",0.83828,3783,191,1216,2181,7371,41.03708
"62",0.91448,3822,107,1209,1789,6927,47.47432
"63",1.16936,3785,117,1635,2481,8018,1.161904
"64",1.25801,3711,151,1653,2293,7808,1.392154
"65",1.2894,3703,140,1468,2075,7386,1.039675
"66",1.53925,3669,198,1520,2799,8186,0.9220009
"67",1.24284,3754,115,1440,2348,7657,1.191036
"68",1.25157,3746,125,1609,2515,7995,1.13127
"69",1.74777,3635,180,1494,3103,8412,0.745594
"70",1.05316,3737,183,1400,2343,7663,1.67992
"71",1.28597,3761,119,1704,2574,8158,1.088194
"72",1.38976,3723,108,1558,2065,7454,1.140114
"73",1.39524,3748,108,1479,2050,7385,1.156341
"74",1.40544,3685,151,1497,1899,7232,1.117064
"75",1.16723,3776,88,1402,1870,7136,1.367433
"76",1.2822,3752,147,1269,2099,7267,1.114056
"77",1.52145,3676,180,1322,2377,7555,1.074567
"78",1.40775,3724,145,1297,2459,7625,0.9379761
"79",1.5407,3702,155,1561,2411,7829,0.888932
"80",0.93322,3747,188,1177,2043,7155,35.89234
"81",1.07419,3720,180,1409,2103,7412,1.592232
"82",1.16122,3798,71,1528,1893,7290,1.44775
"83",1.52742,3679,161,1632,2547,8019,0.7691208
"84",1.62488,3686,144,1517,2459,7806,0.8127945
"85",1.06148,3741,111,1552,2649,8053,1.591354
"86",0.96002,3789,106,1487,2262,7644,56.66769
"87",1.17373,3754,125,1569,2434,7882,1.509273
"88",1.28013,3791,83,1599,2233,7706,1.150226
"89",1.10338,3682,242,1297,2353,7574,38.7393
"90",1.73462,3665,147,1592,2267,7671,0.8722578
"91",1.45101,3773,67,1680,1795,7315,0.8921819
"92",1.51193,3760,96,1516,2862,8234,0.9736
"93",1.52235,3710,161,1497,2196,7564,1.084547
"94",1.15804,3739,145,1416,2098,7398,1.168646
"95",1.08115,3754,139,1278,2598,7769,2.124772
"96",0.82758,3791,103,1425,2063,7382,46.21931
"97",1.4534,3780,89,1576,1946,7391,0.9462718
"98",0.96684,3762,111,1406,1945,7224,45.4644
"99",1.18042,3756,80,1413,1698,6947,1.410913
"100",1.49381,3783,93,1519,1969,7364,0.9663729
