"","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","tot_pangenome_size","indel_rate"
"1",1.68896,1357,35,846,795,3033,1.447923
"2",1.53706,1325,51,967,913,3256,1.348861
"3",1.89597,1305,58,900,1146,3409,1.360281
"4",1.72405,1312,66,935,1066,3379,1.379443
"5",1.86239,1326,53,853,1146,3378,1.321391
"6",1.89776,1298,63,1011,1037,3409,1.316481
"7",1.45826,1341,55,943,852,3191,1.444891
"8",1.90566,1293,91,864,1180,3428,1.320059
"9",1.42823,1332,56,947,868,3203,1.386379
"10",1.93938,1290,69,844,1109,3312,1.349735
"11",1.8567,1309,61,961,1075,3406,1.252987
"12",1.75486,1287,69,850,1289,3495,1.284709
"13",1.69773,1308,61,997,987,3353,1.381558
"14",1.57597,1307,57,947,955,3266,1.306691
"15",2.05651,1278,73,1087,1249,3687,1.349701
"16",1.96836,1343,44,922,972,3281,1.347329
"17",1.95866,1310,58,1044,1095,3507,1.178562
"18",1.59779,1324,44,940,950,3258,1.372484
"19",1.84949,1325,52,824,1088,3289,1.377337
"20",1.67977,1322,49,963,1045,3379,1.346973
"21",1.69991,1334,42,926,1009,3311,1.300476
"22",1.76534,1324,56,912,951,3243,1.361435
"23",1.67247,1339,55,870,860,3124,1.392946
"24",2.02935,1321,51,896,1196,3464,1.274301
"25",1.79042,1312,75,877,1049,3313,1.35583
"26",2.22467,1279,75,919,1208,3481,1.246347
"27",1.82758,1333,51,935,1030,3349,1.336864
"28",1.64613,1350,39,898,836,3123,1.401017
"29",1.53867,1316,51,988,911,3266,1.290962
"30",1.6897,1335,38,957,1074,3404,1.373891
"31",1.87593,1311,53,990,1083,3437,1.308925
"32",1.71755,1339,38,997,971,3345,1.376467
"33",1.92005,1285,68,1028,1066,3447,1.364638
"34",1.50063,1315,56,989,808,3168,1.366705
"35",1.69365,1302,68,813,1064,3247,1.357082
"36",1.93839,1309,58,934,1178,3479,1.350539
"37",1.90736,1336,49,960,933,3278,1.343437
"38",1.91411,1312,67,899,1164,3442,1.37078
"39",2.15106,1278,79,954,1387,3698,1.256056
"40",1.71481,1295,62,978,1172,3507,1.379024
"41",1.92246,1309,48,910,1191,3458,1.377873
"42",1.68212,1323,63,871,931,3188,1.39262
"43",1.83351,1307,68,938,1029,3342,1.365676
"44",1.93391,1287,72,935,1223,3517,1.251307
"45",1.97412,1310,67,843,1190,3410,1.279177
"46",1.97712,1316,67,910,1228,3521,1.390804
"47",1.86514,1314,77,780,1172,3343,1.309518
"48",1.81806,1296,64,958,1054,3372,1.328171
"49",2.0451,1301,66,938,1024,3329,1.328321
"50",1.89254,1340,32,925,1088,3385,1.397702
"51",1.73641,1318,66,920,1018,3322,1.448305
"52",2.00161,1309,67,908,1106,3390,1.300959
"53",1.76932,1288,73,872,1117,3350,1.286514
"54",1.61031,1301,67,870,1186,3424,1.307484
"55",1.61579,1328,45,867,1137,3377,1.331734
"56",1.76938,1308,62,1003,1038,3411,1.360625
"57",1.53191,1354,42,925,871,3192,1.394869
"58",1.42912,1337,40,1038,906,3321,1.383706
"59",2.03968,1311,59,989,1025,3384,1.421448
"60",2.10928,1288,77,898,1326,3589,1.273729
"61",1.69598,1315,54,898,1157,3424,1.304523
"62",1.79478,1326,52,992,855,3225,1.388397
"63",1.97885,1296,60,933,1211,3500,1.35474
"64",1.90367,1336,52,921,1100,3409,1.337783
"65",1.85172,1332,49,991,1011,3383,1.353712
"66",2.16998,1292,68,898,1324,3582,1.300968
"67",1.6074,1326,60,936,992,3314,1.290862
"68",1.75066,1287,76,925,1136,3424,1.339122
"69",2.00435,1326,53,880,1038,3297,1.295436
"70",1.96977,1283,66,1014,1247,3610,1.273193
"71",1.85141,1317,46,964,1190,3517,1.450828
"72",1.74022,1301,56,811,1163,3331,1.245585
"73",2.16158,1295,73,973,1149,3490,1.297567
"74",1.97195,1305,67,935,1085,3392,1.325104
"75",1.98127,1312,67,836,1304,3519,1.288075
"76",1.85774,1315,70,930,1029,3344,1.419539
"77",2.12639,1297,75,939,1087,3398,1.332005
"78",1.94555,1316,65,1057,1018,3456,1.289362
"79",1.90332,1334,47,941,1035,3357,1.376108
"80",1.55963,1343,56,926,739,3064,1.349372
"81",2.09128,1302,78,850,1288,3518,1.309479
"82",1.99622,1328,41,881,1100,3350,1.27546
"83",2.01163,1312,65,843,1145,3365,1.414444
"84",1.81427,1334,52,874,950,3210,1.43368
"85",1.99432,1310,59,928,1090,3387,1.247832
"86",1.65676,1307,54,1075,968,3404,1.300133
"87",1.76479,1325,43,849,1034,3251,1.277032
"88",1.83594,1315,69,1001,1100,3485,1.433148
"89",1.84252,1304,61,978,1116,3459,1.303561
"90",1.80317,1317,46,940,1056,3359,1.405998
"91",1.95746,1311,71,870,1066,3318,1.314706
"92",1.74296,1329,37,863,1141,3370,1.333943
"93",1.81487,1316,52,862,1149,3379,1.426073
"94",2.0342,1325,44,931,1155,3455,1.321987
"95",2.06133,1301,60,947,1200,3508,1.219077
"96",1.95029,1308,60,942,1182,3492,1.352095
"97",1.93933,1284,77,944,1247,3552,1.314751
"98",1.78541,1329,54,840,1083,3306,1.332465
"99",1.9912,1311,78,965,1036,3390,1.373998
"100",1.96092,1293,60,996,1060,3409,1.279019
